"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGFFFLIJ_05638",107.836576602956,0.0968700958057987,0.30295660560317,0.319749079617972,0.749158551156943,0.825139522260533
"FGFFFLIJ_00981",589.642132127554,-0.0571653889363772,0.179355689925864,-0.318726375282581,0.749934012359068,0.825514533490455
"FGFFFLIJ_03524",398.272512511331,-0.0549461376167981,0.172298809390665,-0.318900274535356,0.749802136132834,0.825514533490455
"FGFFFLIJ_04974",14.0961319201488,0.205758861109599,0.645149835753832,0.31893189722226,0.749778155903445,0.825514533490455
"FGFFFLIJ_06200",272.731641211314,0.0656901411725413,0.206126484552343,0.318688504852759,0.749962732309633,0.825514533490455
"FGFFFLIJ_01740",6.92892082572746,-0.365292199915108,1.1491342220592,-0.317884710856945,0.75057239049791,0.825518523420727
"FGFFFLIJ_01974",397.164972843035,-0.0715317974173435,0.224967714544783,-0.31796472468099,0.750511694970955,0.825518523420727
"FGFFFLIJ_02643",151.618127675993,-0.0758097659030918,0.238207394073569,-0.318251102984983,0.750294471639858,0.825518523420727
"FGFFFLIJ_05559",17.318880456045,-0.193031575404387,0.606728573170707,-0.318151450154427,0.750370057941534,0.825518523420727
"FGFFFLIJ_06008",4123.59429320394,0.0457035482097821,0.14375022568879,0.317937227512446,0.750532553131674,0.825518523420727
"FGFFFLIJ_06869",476.086071954877,0.0696096003184889,0.218766167971143,0.318191797955116,0.750339453995883,0.825518523420727
"FGFFFLIJ_01057",18.2468443124562,0.231140770127068,0.728317578060171,0.317362613631676,0.750968472025406,0.82573191468635
"FGFFFLIJ_05423",247.09825004307,-0.0731454371496847,0.230395854041401,-0.317477228286151,0.750881515645298,0.82573191468635
"FGFFFLIJ_02585",166.482150118001,-0.0740059289895658,0.233470332213171,-0.316982154811835,0.751257142966215,0.825938206815022
"FGFFFLIJ_02079",39.462687741053,0.126453479516974,0.399148205572063,0.31680833773445,0.751389037262294,0.825970556781311
"FGFFFLIJ_02315",4281.32528590512,-0.0598819658778563,0.189094764209537,-0.316677017093401,0.751488689615298,0.825970556781311
"FGFFFLIJ_03948",4703.32365940579,0.0421738164778011,0.133270655739402,0.316452382137806,0.751659162918674,0.826046838581998
"FGFFFLIJ_02021",85.5331360855984,0.0959573206162403,0.305181292923439,0.314427269433953,0.753196547589233,0.82744852321469
"FGFFFLIJ_02842",2.28322749010572,-0.520683176054569,1.65696593303472,-0.314238914436184,0.753339589042029,0.82744852321469
"FGFFFLIJ_04168",55.7040268809123,-0.124043916777267,0.394541779536338,-0.31439995258054,0.753217292159546,0.82744852321469
"FGFFFLIJ_08232",119.250365551778,-0.0797437968384285,0.253752328248339,-0.314258384894053,0.753324802301394,0.82744852321469
"FGFFFLIJ_06339",104.614781944323,-0.0859645808785267,0.274023637787084,-0.313712282534257,0.753739571273537,0.827776607903604
"FGFFFLIJ_02693",6.81037181719643,-0.309471721788412,0.987772988574169,-0.313302474726636,0.754050870156989,0.828007223134901
"FGFFFLIJ_01968",62.5531568222954,0.116873789292011,0.374207333490248,0.312323620710272,0.75479459053359,0.828601234174752
"FGFFFLIJ_07083",3.03078184852791,-0.514218747428625,1.64582935040039,-0.312437463400156,0.75470808266056,0.828601234174752
"FGFFFLIJ_06450",26.1813881607584,-0.183137028988512,0.587229036996126,-0.311866439584322,0.755142028673607,0.828871313503813
"FGFFFLIJ_00957",18.8850139249852,-0.195035255859855,0.627587262129622,-0.310769940100492,0.755975523247018,0.829674761850124
"FGFFFLIJ_03252",38.9096940848302,0.135121116794722,0.435213773446191,0.310470681395906,0.756203051538149,0.829813042457209
"FGFFFLIJ_01272",24.6689995910731,0.156012076965066,0.503380445152486,0.309928759584228,0.756615131921334,0.830153775432013
"FGFFFLIJ_00647",3.4755185764345,-0.440679873661423,1.42252489608994,-0.309787108030735,0.756722855971944,0.830160523739422
"FGFFFLIJ_06600",5.59233177785265,-0.344590678094463,1.11696844912531,-0.308505292485484,0.757697873692283,0.831118604440616
"FGFFFLIJ_03283",8.29989464954456,-0.33441871025002,1.08924168324077,-0.307019750892236,0.758828338739484,0.832246915260038
"FGFFFLIJ_01774",7.69346725298272,-0.313364514746683,1.02200625402429,-0.306617022657902,0.759134895172125,0.832471420668426
"FGFFFLIJ_01724",252.209711650421,-0.0745756354076691,0.244130801876622,-0.305474093536783,0.760005097988554,0.833313880582298
"FGFFFLIJ_01048",23.1760964950244,-0.163066097338762,0.536544534190636,-0.303919035508847,0.761189575098377,0.834276840187613
"FGFFFLIJ_02912",492.442964252951,-0.0583896416324083,0.192108401767538,-0.303941113950149,0.761172754175381,0.834276840187613
"FGFFFLIJ_05696",20.685085502181,0.178436639033658,0.58671938667701,0.304126032112669,0.761031874832225,0.834276840187613
"FGFFFLIJ_02338",4.86543829447844,-0.319284231569135,1.05173545175944,-0.303578462659034,0.761449061952779,0.834449340753561
"FGFFFLIJ_06725",4.89751912829772,-0.361953374185428,1.197346780125,-0.302296193712269,0.762426279675138,0.835408229492547
"FGFFFLIJ_06329",18.6049272469079,0.199873838076071,0.662128576077423,0.301865597253274,0.762754522471745,0.835655859539085
"FGFFFLIJ_07673",7.95510482207653,0.259193988037923,0.859112314031365,0.301699770570929,0.762880943194335,0.835682341338601
"FGFFFLIJ_02525",1686.71091695829,0.0444002320553989,0.147378424984118,0.301266837803319,0.763211026476805,0.83593188413226
"FGFFFLIJ_01698",49.1648830351407,-0.114116271014677,0.379151030820768,-0.300978401054704,0.763430964775803,0.835935651837204
"FGFFFLIJ_02914",3.55088704021731,-0.419965903906979,1.39650768981897,-0.300725808363734,0.763623587008022,0.835935651837204
"FGFFFLIJ_03078",292.890540921435,0.060556153887491,0.201233343420208,0.300925049786803,0.763471648186912,0.835935651837204
"FGFFFLIJ_03425",163.071423167816,-0.0804350102810575,0.267404351228304,-0.300799182629544,0.763567631723567,0.835935651837204
"FGFFFLIJ_02907",95.2339951332462,-0.0912094418683245,0.304436958828475,-0.29960042374393,0.764481960913388,0.836763233767928
"FGFFFLIJ_07208",44.5598767004052,-0.138118643539971,0.461885949712631,-0.299031922546904,0.764915688635196,0.837125860098481
"FGFFFLIJ_06184",7.47353862978622,-0.265568440311296,0.890624156624678,-0.298182390782838,0.765563960942146,0.837723156082496
"FGFFFLIJ_01119",69.962316248992,-0.095734356847516,0.321529851754458,-0.297746403094868,0.765896724184626,0.837975090597182
"FGFFFLIJ_00169",2040.04623126184,-0.0430085794574392,0.145110048486023,-0.296385949189326,0.766935354477135,0.83882292373877
"FGFFFLIJ_00995",27.3865306658862,0.15371020134015,0.518572662222352,0.296410151436488,0.766916873753337,0.83882292373877
"FGFFFLIJ_01820",10.3635955157843,0.244290480244346,0.824391893177206,0.296328096219931,0.766979531273685,0.83882292373877
"FGFFFLIJ_07722",3.02375061699362,-0.484778962718386,1.64408596591967,-0.294862295991445,0.768099075464586,0.839822574417667
"FGFFFLIJ_08364",2.28793726057816,0.592707377295731,2.00961389881351,0.294935946474928,0.768042811368386,0.839822574417667
"FGFFFLIJ_04637",16.6104414942537,-0.198734474717189,0.676516985758164,-0.29376124901649,0.768940348020544,0.840629944405016
"FGFFFLIJ_01222",25.6170187558567,-0.14542645413279,0.497149159492489,-0.292520768377136,0.769888483079288,0.841457321760411
"FGFFFLIJ_04982",17.2360023058513,-0.214802226405472,0.734362374359606,-0.292501677516891,0.769903077465356,0.841457321760411
"FGFFFLIJ_08259",10.6887882436625,0.217825013243242,0.745830544474195,0.29205697575286,0.770243061582327,0.841716344740254
"FGFFFLIJ_07452",1677.53517808616,0.0461102815053076,0.158482647447191,0.290948455544147,0.77109074135971,0.842530030632742
"FGFFFLIJ_04528",101.63453926351,-0.0841681641693033,0.289489632297538,-0.290746730725041,0.771245028740371,0.842585967102667
"FGFFFLIJ_06767",270.093105095631,0.0657528007184594,0.226295787230459,0.290561311472834,0.771386852939351,0.842628274401673
"FGFFFLIJ_03387",8.29643151844476,-0.246837073664402,0.851640894918654,-0.289837037109378,0.771940911907957,0.84312081692152
"FGFFFLIJ_03271",109.431718046264,0.0866945469162091,0.299308963277882,0.289649016744349,0.772084763681174,0.843165255687631
"FGFFFLIJ_01875",3.64395148649585,0.36299574991948,1.25463594970819,0.289323568325861,0.772333778265682,0.84321185810385
"FGFFFLIJ_03296",83.4164465954764,0.123694274863892,0.427337740973928,0.289453195924108,0.772234591803054,0.84321185810385
"FGFFFLIJ_00405",13.7327549288675,0.216440010936563,0.74877756405984,0.289057820807336,0.772537130515344,0.843321219140098
